run_id,itr,counts(idx=0),counts(idx=1),counts(idx=2),counts(idx=3),counts(idx=4),counts(idx=5),counts(idx=6),counts(idx=7),counts(idx=8),counts(idx=9),counts(idx=10),counts(idx=11),counts(idx=12),counts(idx=13),counts(idx=14),counts(idx=15),counts(idx=16),counts(idx=17),counts(idx=18),counts(idx=19)
0700eac3-013b-4efc-a259-1fd327b6571a,3,81,1,0,0,0,1,1,1,2,0,1,0,3,2,0,2,1,1,2,1
97641158-5ee1-4620-b851-d595b4d67c53,16,62,2,1,1,3,1,2,3,1,2,3,7,1,4,1,2,0,0,3,1
57c9fcd8-1a2f-4b07-910c-d722b23a184c,9,69,0,4,2,1,1,2,2,5,3,0,3,1,1,0,3,1,2,0,0
0700eac3-013b-4efc-a259-1fd327b6571a,4,84,0,2,1,0,1,1,0,0,0,0,1,0,2,1,2,2,0,0,3
97641158-5ee1-4620-b851-d595b4d67c53,17,48,3,2,2,4,2,3,3,1,4,2,7,1,6,1,4,4,0,2,1
57c9fcd8-1a2f-4b07-910c-d722b23a184c,10,57,0,5,1,1,1,4,3,8,4,0,3,4,1,0,3,1,3,1,0
0700eac3-013b-4efc-a259-1fd327b6571a,5,68,0,5,2,2,0,1,2,1,1,1,1,1,1,2,3,3,1,1,4
97641158-5ee1-4620-b851-d595b4d67c53,18,80,1,0,1,1,2,2,2,1,0,0,0,2,2,0,0,0,1,1,4
57c9fcd8-1a2f-4b07-910c-d722b23a184c,11,38,2,6,2,4,1,6,3,9,7,0,4,4,2,0,4,1,4,2,1
0700eac3-013b-4efc-a259-1fd327b6571a,6,58,2,4,3,3,0,2,3,1,2,3,1,2,1,2,4,3,1,2,3
97641158-5ee1-4620-b851-d595b4d67c53,19,65,2,2,1,1,2,2,2,1,0,4,1,2,2,2,2,2,2,1,4
57c9fcd8-1a2f-4b07-910c-d722b23a184c,12,83,2,1,0,0,0,3,1,2,0,0,1,2,0,1,2,1,0,1,0
0700eac3-013b-4efc-a259-1fd327b6571a,7,48,5,3,2,3,1,2,2,3,2,3,2,2,2,2,4,4,2,2,6
97641158-5ee1-4620-b851-d595b4d67c53,20,55,1,1,3,3,2,3,5,0,1,4,4,1,1,2,3,4,2,2,3
57c9fcd8-1a2f-4b07-910c-d722b23a184c,13,69,4,3,0,2,1,3,2,2,0,0,2,2,1,0,4,1,0,2,2
57c9fcd8-1a2f-4b07-910c-d722b23a184c,14,60,4,2,0,2,1,3,3,6,0,1,3,4,1,0,3,1,3,2,1
0700eac3-013b-4efc-a259-1fd327b6571a,8,77,2,3,0,2,2,1,1,2,3,0,1,1,0,2,0,0,1,1,1
a71f5376-f752-41d4-b6df-dda7db57903f,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
57c9fcd8-1a2f-4b07-910c-d722b23a184c,15,50,6,1,0,4,1,3,3,4,1,2,5,3,3,3,3,1,3,3,1
